Main field,Conceptual framework,Literature review,Bibliometric analysis,Case study / interview,Survey / SEM,Experiment,Optimization / simulation / game model,Statistical / econometric modeling,Mixed methods,Total
Marketing,3,8,2,16,125,11,15,5,8,193
Management Science & Operations Research,0,2,0,0,1,2,75,1,3,84
Supply Chain Management,28,3,2,9,8,1,8,4,1,64
Information Systems & Management,32,6,0,8,8,1,2,3,0,60
Business School (Unclassified),35,3,0,2,6,0,2,1,0,49
Quantitative Methods,0,1,4,0,3,2,1,0,21,32
Consumer Psychology,0,0,0,3,17,3,2,0,0,25
Operations Management,3,0,0,0,0,0,2,0,0,5
Strategy & Organization,0,0,0,2,2,0,0,0,0,4
(Unable to Read),3,0,0,0,0,0,0,0,0,3
Total,104,23,8,40,170,20,107,14,33,519
