Year,Customer experience / behavior,Omni-channel / multi-channel marketing,Logistics / fulfillment,Inventory / operations / optimization,Digital technology / information systems,Strategy / business model / organization,Performance / measurement / bibliometric review,Resilience / capability,Total
1990,1,0,0,0,0,0,0,0,1
2000,3,0,0,0,0,0,0,0,3
2002,1,0,0,0,0,0,0,0,1
2004,0,0,0,1,0,0,0,0,1
2011,0,1,0,0,0,0,0,0,1
2013,1,1,1,0,0,0,0,0,3
2014,2,1,0,0,1,0,0,0,4
2015,5,1,3,0,0,0,1,0,10
2016,3,4,5,2,0,0,0,0,14
2017,3,4,4,4,3,1,1,1,21
2018,11,5,12,4,5,0,0,0,37
2019,11,11,12,12,5,0,1,1,53
2020,34,13,17,8,9,0,3,2,86
2021,34,12,11,11,13,3,3,6,93
2022,38,21,14,17,5,1,0,12,108
2023,25,13,13,9,7,0,4,3,74
2024,0,0,0,0,2,0,0,0,2
Unknown,1,2,1,0,0,0,0,3,7
Total,173,89,93,68,50,5,13,28,519
